,location,bath,balcony,price_Transformed,BHK,total_sqft_norm
141,Yelahanka,5.0,1.0,2.6278889736191147,5,3050.0
142,Kasavanhalli,3.0,1.0,2.4757396611400497,3,1563.05
144,Anandapura,2.0,1.0,2.235405695412484,2,1167.0
147,Kengeri Satellite Town,2.0,1.0,2.162996701647244,2,890.0
148,other,3.0,3.0,2.255829745727096,3,1612.0
150,Mysore Road,4.0,2.0,2.441578279694509,3,1710.0
151,Kannamangala,2.0,1.0,2.3199212383256165,2,957.0
154,Hulimavu,2.0,2.0,2.276308317343053,2,1125.0
155,Electronic City Phase II,2.0,1.0,2.116991462144262,2,1020.0
157,Thanisandra,3.0,3.0,2.533621560963916,3,1735.0
158,Thanisandra,3.0,1.0,2.5492799755952857,3,2050.0
161,Hosa Road,2.0,1.0,2.1325218913463257,2,1063.0
162,other,3.0,1.0,2.5565892512800237,3,1904.0
164,other,3.0,1.0,2.588881046100511,3,2000.0
165,Sarjapur,2.0,0.0,2.2334656231488457,2,1242.5
166,other,2.0,2.0,2.390904357255814,3,1425.0
167,Electronic City,2.0,1.0,2.3499356787236603,3,1500.0
168,Electronic City,2.0,1.0,2.3296071907373097,2,1060.0
169,other,2.0,2.0,2.3723989530691814,3,1470.0
171,Attibele,1.0,1.0,1.6967722111658106,1,450.0
172,Electronic City,2.0,1.0,2.3499356787236603,2,1152.0
173,Electronic City,2.0,1.0,2.3097885255458146,3,1350.0
174,CV Raman Nagar,3.0,3.0,2.3520796841242335,3,1550.0
178,Malleshwaram,1.0,2.0,2.360444898973766,1,705.0
179,Electronic City,1.0,1.0,2.1724048403316476,2,770.0
180,Hulimavu,2.0,3.0,2.282242894864343,2,1242.0
181,Hebbal Kempapura,3.0,2.0,2.5635867709547706,3,1700.0
182,Thanisandra,3.0,2.0,2.5492799755952857,3,2144.0
183,Vijayanagar,3.0,2.0,2.486793794290263,3,1704.0
184,Electronic City,2.0,1.0,2.288027272233296,2,1070.0
187,Electronic City,2.0,1.0,2.2509200642093465,2,1025.0
188,KR Puram,2.0,0.0,2.3138975365801104,2,1277.5
189,Marathahalli,2.0,2.0,2.288027272233296,2,1200.0
191,Pattandur Agrahara,2.0,3.0,2.407863475493781,3,1550.0
194,Marathahalli,2.0,2.0,2.3296071907373097,2,1200.0
195,Yelahanka,2.0,2.0,2.4590518107288126,2,1327.0
198,HSR Layout,3.0,2.0,2.3097885255458146,3,1400.0
202,Whitefield,2.0,2.0,2.261409473423488,2,1225.0
204,Kadugodi,2.0,2.0,2.299171349348421,3,1260.0
205,Yelahanka,2.0,2.0,2.2683572089282604,3,1282.0
206,other,3.0,2.0,2.432301551196587,3,1909.0
207,Panathur,2.0,1.0,2.4294087898352825,2,1359.0
211,Kammasandra,3.0,2.0,2.3520796841242335,3,1595.0
213,Electronics City Phase 1,3.0,2.0,2.4022231638748957,3,1475.0
214,other,3.0,3.0,2.463975079505272,3,1580.0
215,Dasarahalli,2.0,1.0,2.3520796841242335,2,1295.0
217,Electronic City,1.0,1.0,2.07238860962533,1,589.0
219,Sarjapur  Road,3.0,2.0,2.4597737891012192,3,1787.0
220,Sarjapur  Road,3.0,2.0,2.516368512754174,3,1787.0
221,Koramangala,2.0,3.0,2.4379602028844816,3,1475.0
223,Sarjapur  Road,2.0,1.0,2.2390984091684336,2,984.0
225,other,4.0,2.0,2.6651338928688655,3,2405.0
226,7th Phase JP Nagar,2.0,2.0,2.380002418013182,2,1080.0
230,Budigere,2.0,2.0,2.3118525550880875,2,1153.0
231,other,2.0,2.0,2.3296071907373097,2,1148.0
232,other,2.0,2.0,2.304543028080613,2,1110.0
233,Electronic City,2.0,2.0,2.2224686292193874,2,1100.0
234,Kalyan nagar,2.0,2.0,2.486793794290263,2,1290.0
237,Vijayanagar,3.0,1.0,2.5234792045990915,3,1933.0
240,Chandapura,1.0,1.0,1.877967600707266,1,645.0
242,Chandapura,1.0,1.0,1.877967600707266,1,645.0
243,other,3.0,3.0,2.42046294655565,3,1644.0
244,other,2.0,3.0,2.3818602333161354,2,1285.0
246,Electronic City,2.0,1.0,2.2068786880579285,2,910.0
247,Kothanur,3.0,1.0,2.3723989530691814,3,1577.0
248,other,3.0,2.0,2.678405507215253,3,4050.0
249,other,3.0,2.0,2.6001519387597782,3,2420.0
250,Chandapura,1.0,1.0,1.9581903903439097,2,800.0
252,7th Phase JP Nagar,2.0,2.0,2.4461468801476762,2,1270.0
257,Electronic City,2.0,1.0,2.343371043853437,2,1108.0
259,other,3.0,2.0,2.582924861653658,3,3045.0
260,Ambedkar Nagar,3.0,2.0,2.6904923883109473,4,2900.0
261,Vijayanagar,3.0,2.0,2.3926659476939687,3,1500.0
262,Raja Rajeshwari Nagar,2.0,2.0,2.2364055090095016,2,1295.0
263,Budigere,2.0,1.0,2.329132969364948,2,1162.0
264,Sarjapur  Road,2.0,2.0,2.2714478073400564,2,1035.0
265,Attibele,4.0,0.0,2.292551067124592,4,1600.0
267,Hennur Road,2.0,2.0,2.336965453005492,3,1866.0
268,other,1.0,1.0,2.058599498505471,2,700.0
269,Kalena Agrahara,3.0,2.0,2.5070501370700384,3,1804.0
271,Talaghattapura,3.0,2.0,2.5269273500371043,3,1868.0
275,Hegde Nagar,3.0,2.0,2.5286257210270686,3,2026.0
276,Balagere,2.0,1.0,2.4107691435850898,2,1210.0
277,other,4.0,2.0,2.6579868114203657,4,4111.0
278,Kadugodi,3.0,3.0,2.4419609290233524,3,1762.0
279,Jigani,3.0,3.0,2.304543028080613,3,1252.0
280,Gollarapalya Hosahalli,2.0,1.0,2.158159829982591,2,861.0
281,7th Phase JP Nagar,2.0,1.0,2.463975079505272,3,1420.0
283,Electronics City Phase 1,3.0,1.0,2.403922089533314,3,1490.0
285,Old Madras Road,2.0,2.0,2.448799397323204,3,1425.0
286,Kalena Agrahara,2.0,1.0,2.2068786880579285,2,1200.0
288,other,2.0,2.0,2.276308317343053,2,1084.0
289,Chandapura,2.0,2.0,2.056898253368592,2,1015.0
290,Kanakpura Road,2.0,1.0,2.2837028061011506,2,1017.0
292,Electronic City Phase II,2.0,2.0,2.2441188393999556,2,1069.0
293,Hebbal,2.0,1.0,2.4595500251612323,2,1349.0
294,9th Phase JP Nagar,2.0,1.0,2.276308317343053,2,1005.0
295,Jakkur,2.0,3.0,2.390904357255814,2,1417.0
297,other,2.0,2.0,2.257530704287577,2,950.0
298,other,4.0,0.0,2.5070501370700384,4,2000.0
300,Sarjapur  Road,3.0,2.0,2.473446098766075,4,1863.0
301,other,2.0,1.0,2.104122301564047,2,1010.0
302,Kalena Agrahara,2.0,1.0,2.3723989530691814,3,1425.0
303,Vijayanagar,3.0,0.0,2.463975079505272,3,1450.0
304,Kothanur,3.0,2.0,2.4757396611400497,3,1847.0
305,AECS Layout,2.0,3.0,2.2441188393999556,2,1100.0
306,Kanakpura Road,1.0,1.0,2.058599498505471,1,525.0
307,Mallasandra,3.0,2.0,2.451415280285468,3,1665.0
308,Begur,4.0,3.0,2.3520796841242335,4,1664.0
309,JP Nagar,3.0,3.0,2.5565892512800237,3,1850.0
310,Panathur,2.0,3.0,2.463975079505272,2,1438.0
311,other,3.0,3.0,2.4972098659406576,3,1560.0
313,Kanakpura Road,3.0,3.0,2.360444898973766,3,1550.0
317,Whitefield,2.0,2.0,2.390904357255814,2,1280.0
319,other,2.0,1.0,2.282242894864343,2,1113.0
320,Hennur Road,2.0,1.0,2.4176664589743386,2,1385.0
321,Electronic City,2.0,1.0,2.3520796841242335,2,1128.0
324,Rajaji Nagar,3.0,2.0,2.744027410512871,3,2390.0
326,Haralur Road,3.0,2.0,2.3097885255458146,3,1464.0
328,other,2.0,2.0,2.288027272233296,2,1200.0
329,Kaggalipura,2.0,1.0,2.304543028080613,3,1150.0
330,other,3.0,2.0,2.451415280285468,3,1645.0
333,other,2.0,2.0,2.3873346778446094,2,1192.0
334,other,3.0,2.0,2.6296861717795146,3,2135.0
335,Whitefield,2.0,1.0,2.3199212383256165,2,1173.0
336,Uttarahalli,2.0,2.0,2.2441188393999556,2,1020.0
337,Thigalarapalya,6.0,2.0,2.6425031855611336,4,3122.0
341,other,2.0,2.0,2.2068786880579285,2,1250.0
342,Kalena Agrahara,2.0,2.0,2.3944123531567993,2,1325.0
343,7th Phase JP Nagar,3.0,1.0,2.5565892512800237,3,1850.0
347,Bommasandra,3.0,1.0,2.272428138642074,3,1260.0
348,other,3.0,0.0,2.5565892512800237,3,1800.0
349,other,3.0,2.0,2.3873346778446094,3,11.0
350,Ardendale,2.0,1.0,2.2317278493186525,2,1100.0
351,Harlur,2.0,1.0,2.3978605222649128,2,1508.0
352,other,3.0,2.0,2.390904357255814,3,1592.0
353,Akshaya Nagar,2.0,3.0,2.314912980862613,2,1388.0
354,Electronic City Phase II,1.0,1.0,2.089979640338766,1,630.0
358,Kodihalli,5.0,3.0,2.709299493083962,4,3252.0
359,Magadi Road,2.0,1.0,2.276308317343053,2,1116.0
360,other,2.0,2.0,2.4352647889004433,2,1308.0
364,Hennur,2.0,1.0,2.288027272233296,2,1075.0
365,Chandapura,1.0,0.0,1.7244151826167156,1,530.0
367,5th Phase JP Nagar,2.0,2.0,2.3296071907373097,2,1075.0
368,KR Puram,2.0,2.0,2.1986963063380878,2,930.0
369,Balagere,2.0,1.0,2.3296071907373097,2,1380.0
370,Hebbal,5.0,2.0,2.6269820810226623,4,2483.0
371,other,2.0,2.0,2.304543028080613,2,1166.0
372,Bannerghatta Road,2.0,1.0,2.3520796841242335,2,1050.0
373,other,3.0,2.0,2.6752064166843295,3,2023.71
374,Begur Road,2.0,2.0,2.256223370689171,2,1200.0
375,Lakshminarayana Pura,2.0,1.0,2.4824525135863165,3,1600.0
376,Billekahalli,3.0,2.0,2.486793794290263,3,1935.0
377,8th Phase JP Nagar,1.0,0.0,2.108873526760244,1,451.0
378,Electronic City,3.0,2.0,2.451415280285468,3,1800.0
379,Jalahalli,3.0,0.0,2.3978605222649128,3,1400.0
380,Hegde Nagar,3.0,2.0,2.4972098659406576,3,1801.0
383,Begur Road,2.0,2.0,2.2371171131819043,2,1160.0
385,Kanakpura Road,2.0,1.0,2.2068786880579285,2,950.0
388,Vijayanagar,3.0,2.0,2.5089539690893004,3,1826.0
389,7th Phase JP Nagar,2.0,1.0,2.448799397323204,2,1245.0
390,Raja Rajeshwari Nagar,2.0,2.0,2.2495079370465794,2,1145.0
391,other,2.0,1.0,2.1430812771149417,2,825.0
392,Yeshwanthpur,3.0,3.0,2.4824525135863165,3,1693.0
393,Electronics City Phase 1,2.0,2.0,2.2936680315997555,2,1113.27
394,other,2.0,1.0,2.3199212383256165,2,1460.0
395,Doddathoguru,2.0,1.0,2.1325218913463257,2,1050.0
396,Dodda Nekkundi,2.0,2.0,2.304543028080613,2,1260.0
398,Hosur Road,2.0,1.0,2.5070501370700384,2,1656.0
399,Chandapura,3.0,1.0,2.2441188393999556,3,1208.0
400,Whitefield,3.0,2.0,2.5716041128932576,3,1910.0
401,Whitefield,4.0,1.0,2.6425031855611336,4,3252.0
404,7th Phase JP Nagar,2.0,1.0,2.4142636500071166,2,1175.0
407,Rajaji Nagar,3.0,2.0,2.7421221296325644,3,2390.0
412,Kengeri,2.0,1.0,2.1902349571616555,2,750.0
414,Kanakpura Road,3.0,3.0,2.3499356787236603,3,1550.0
415,other,3.0,2.0,2.432301551196587,3,1760.0
416,Billekahalli,2.0,2.0,2.3388800168684982,2,1125.0
421,Budigere,4.0,2.0,2.4711235242287644,3,1991.0
422,Bommasandra,2.0,1.0,2.0655790856799827,2,1060.0
423,Ambalipura,2.0,1.0,2.390904357255814,2,1105.0
424,Hoodi,2.0,2.0,2.360444898973766,2,985.0
426,Balagere,3.0,2.0,2.4045844159000165,3,1590.0
427,CV Raman Nagar,2.0,2.0,2.304543028080613,2,1120.0
428,other,2.0,1.0,2.304543028080613,2,1069.0
429,Marathahalli,3.0,2.0,2.5416335627291207,3,1933.0
430,Hosur Road,2.0,0.0,2.3684898924808424,2,1194.0
431,Brookefield,2.0,3.0,2.3684898924808424,2,1150.0
433,Raja Rajeshwari Nagar,2.0,2.0,2.264593278038776,2,1419.0
436,other,3.0,2.0,2.304543028080613,3,1450.0
437,other,3.0,2.0,2.3656692181833128,3,1630.0
438,Dasanapura,1.0,1.0,2.2068786880579285,2,708.0
441,Bellandur,2.0,1.0,2.3944123531567993,2,1250.0
442,7th Phase JP Nagar,2.0,1.0,2.451415280285468,3,1400.0
444,Ardendale,3.0,2.0,2.463975079505272,3,1750.0
445,Vittasandra,2.0,1.0,2.376235685223555,2,1404.0
446,Hoodi,2.0,2.0,2.451415280285468,3,1715.0
447,Electronic City,1.0,1.0,2.1596204654920244,1,630.0
448,Harlur,3.0,2.0,2.533621560963916,3,1752.12
450,Raja Rajeshwari Nagar,2.0,1.0,2.3070238069757862,2,1295.0
451,other,3.0,2.0,2.659445808545135,3,1800.0
452,Sarjapur  Road,2.0,1.0,2.387442684048878,2,1346.0
454,Hormavu,2.0,2.0,2.304543028080613,2,1150.0
455,other,4.0,3.0,2.7041977692166235,4,3309.0
456,Chandapura,2.0,2.0,2.1141203191175184,3,1190.0
457,AECS Layout,3.0,2.0,2.4590518107288126,3,1620.0
459,other,9.0,3.0,2.7212271080303836,11,5000.0
460,Harlur,3.0,0.0,2.5070501370700384,3,2450.0
461,Electronic City Phase II,2.0,1.0,2.165191432682794,3,1220.0
462,other,2.0,1.0,2.110048363286599,2,850.0
465,other,2.0,2.0,2.518173801183998,2,1150.0
466,Hebbal,2.0,2.0,2.5252119458404625,3,1760.0
471,Amruthahalli,2.0,1.0,2.2068786880579285,2,900.0
473,Whitefield,2.0,1.0,2.2236737872922774,2,1130.0
474,Koramangala,2.0,1.0,2.576735154035312,2,1320.0
476,other,2.0,1.0,2.3388800168684982,2,1200.0
479,Subramanyapura,2.0,0.0,2.2773280885722538,2,929.0
480,other,4.0,2.0,2.6651338928688655,4,1150.0
483,other,5.0,2.0,2.6054929396097726,5,1200.0
488,Hebbal Kempapura,2.0,2.0,2.3296071907373097,2,1130.0
489,other,3.0,2.0,2.5070501370700384,3,1753.0
490,Old Madras Road,7.0,3.0,2.7102959741782224,5,4500.0
492,Hoodi,2.0,2.0,2.4499024785644465,2,1196.0
493,5th Phase JP Nagar,3.0,3.0,2.2908652090232473,2,1150.0
494,Electronic City,2.0,1.0,2.343371043853437,2,1128.0
495,other,2.0,1.0,2.2936680315997555,2,1000.0
496,Yelahanka,2.0,1.0,2.2441188393999556,2,1035.0
498,Bisuvanahalli,2.0,1.0,2.1724048403316476,3,1075.0
499,Whitefield,2.0,1.0,2.2671093320025704,2,1040.0
501,Lingadheeranahalli,3.0,1.0,2.451415280285468,3,1511.0
503,Hoodi,3.0,1.0,2.36750104244727,3,1545.0
507,JP Nagar,2.0,1.0,2.162996701647244,2,1000.0
508,Kambipura,2.0,1.0,2.2441188393999556,2,883.0
509,Sarjapur  Road,2.0,1.0,2.3723989530691814,2,1195.0
512,Vittasandra,2.0,1.0,2.360444898973766,2,1246.0
516,Haralur Road,5.0,3.0,2.562211081332236,4,2805.0
521,other,2.0,2.0,2.486793794290263,2,1353.0
522,Electronic City,3.0,2.0,2.516368512754174,3,1599.0
523,Whitefield,2.0,1.0,2.3723989530691814,2,1150.0
524,Jakkur,6.0,1.0,2.761566870634646,4,5230.0
525,KR Puram,2.0,2.0,2.2279928678037852,2,1155.0
529,Rajiv Nagar,3.0,1.0,2.570295263205349,3,1867.0
530,Ramagondanahalli,2.0,1.0,2.257530704287577,2,1251.0
531,other,2.0,1.0,2.247543877793339,2,1028.0
532,Arekere,2.0,2.0,2.2441188393999556,2,1222.0
533,Bannerghatta Road,2.0,1.0,2.3563037149614248,3,1170.0
534,Hebbal,4.0,1.0,2.6542715826821204,3,2400.0
536,HSR Layout,2.0,1.0,2.364506061680783,2,1372.0
537,Magadi Road,2.0,2.0,2.2702165163325065,3,1282.0
538,other,9.0,3.0,2.6251514058926886,9,5000.0
540,Kanakpura Road,2.0,1.0,2.20469601355635,2,1135.0
542,other,2.0,1.0,2.4379602028844816,3,1325.0
543,Electronic City,3.0,2.0,2.4615296977482752,3,1599.0
549,Hennur Road,2.0,0.0,2.34676610628611,2,1317.5
550,Hebbal,5.0,2.0,2.6651338928688655,3,3450.0
551,Munnekollal,2.0,2.0,2.297370084252982,2,1102.0
552,Yelahanka,2.0,2.0,2.299171349348421,2,1350.0
557,Kanakpura Road,1.0,1.0,2.075731858651418,1,525.0
558,Attibele,2.0,1.0,2.0440990630256364,2,656.0
560,other,2.0,1.0,2.407863475493781,2,1056.0
561,Bannerghatta Road,1.0,1.0,2.1463722795897873,1,595.0
563,7th Phase JP Nagar,3.0,1.0,2.570295263205349,3,2225.0
564,Bommasandra,2.0,1.0,2.087443428635743,2,1126.0
565,Electronics City Phase 1,3.0,1.0,2.42046294655565,3,1490.0
567,Sarjapur  Road,3.0,3.0,2.463975079505272,3,1550.0
570,Whitefield,4.0,3.0,2.6988865992442155,4,4144.0
571,Sarjapur  Road,3.0,2.0,2.516368512754174,3,2100.0
572,Vittasandra,2.0,1.0,2.3696703481761174,2,1404.0
573,Sarjapur  Road,4.0,3.0,2.6383552979621507,4,2230.0
575,other,2.0,1.0,2.3233603390366375,3,1305.0
576,Marathahalli,2.0,2.0,2.407863475493781,2,1230.0
582,Hormavu,1.0,2.0,2.2509200642093465,1,715.0
583,Whitefield,3.0,2.0,2.6977978818793353,3,2500.0
584,other,3.0,1.0,2.594618821703026,3,1578.0
586,Jigani,2.0,1.0,2.2068786880579285,2,1020.0
587,Koramangala,2.0,1.0,2.468771283478688,2,1253.0
588,other,2.0,2.0,2.2224686292193874,2,1180.0
589,other,2.0,2.0,2.1902349571616555,2,961.0
591,Harlur,3.0,2.0,2.5565892512800237,3,1709.0
596,other,2.0,2.0,2.2441188393999556,2,1260.0
597,other,3.0,2.0,2.423490694742521,3,1630.0
598,Sarjapur  Road,3.0,2.0,2.2421094379598654,3,1249.0
599,Kalena Agrahara,2.0,3.0,2.423490694742521,3,1450.0
600,other,3.0,1.0,2.63666225808826,3,2791.0
602,other,1.0,1.0,2.3296071907373097,1,834.0
606,Gottigere,2.0,1.0,2.0440990630256364,2,891.0
607,Raja Rajeshwari Nagar,2.0,1.0,2.2706482143321707,2,1133.0
608,Bisuvanahalli,2.0,1.0,2.1814774036790427,3,1075.0
616,Raja Rajeshwari Nagar,2.0,1.0,2.2224686292193874,2,1090.0
620,Hebbal,3.0,2.0,2.5319725411070797,3,1920.0
621,other,2.0,2.0,2.451415280285468,2,1374.0
623,Kanakapura,1.0,1.0,2.1724048403316476,1,711.0
624,Tumkur Road,3.0,3.0,2.451415280285468,3,1500.0
625,Whitefield,3.0,3.0,2.463975079505272,3,1720.0
628,Mysore Road,2.0,1.0,2.423490694742521,2,1200.0
629,other,3.0,2.0,2.3723989530691814,3,1375.0
631,Jalahalli,3.0,2.0,2.570295263205349,3,2250.0
632,Bellandur,2.0,2.0,2.276308317343053,2,1000.0
633,other,1.0,0.0,2.0440990630256364,1,469.0
634,Marathahalli,4.0,3.0,2.6579868114203657,4,3800.0
635,Kambipura,2.0,1.0,2.0980634611070155,2,883.0
636,other,2.0,3.0,2.4264722323552923,3,1820.0
639,Malleshwaram,5.0,2.0,2.7041977692166235,4,2500.0
643,other,1.0,2.0,2.2068786880579285,1,750.0
649,Hosakerehalli,3.0,1.0,2.6665202473977994,3,2378.0
650,Sarjapur,2.0,1.0,2.3296071907373097,2,1128.0
651,Hebbal,3.0,1.0,2.5565892512800237,3,1500.0
654,Kanakpura Road,2.0,1.0,2.3199212383256165,3,1100.0
655,Bommasandra,3.0,2.0,2.2509200642093465,3,1200.0
657,other,3.0,2.0,2.3563037149614248,3,1641.0
659,Raja Rajeshwari Nagar,2.0,1.0,2.362038119814332,2,1260.0
661,Yelahanka,2.0,0.0,2.264782929508486,2,1132.5
662,Yelahanka,2.0,1.0,2.250785939307663,2,1210.0
664,Bisuvanahalli,2.0,1.0,2.2441188393999556,3,1075.0
665,Thanisandra,3.0,2.0,2.5252119458404625,3,1702.0
666,other,2.0,2.0,2.615643512031689,2,1630.0
667,Raja Rajeshwari Nagar,2.0,2.0,2.194924218127499,2,1141.0
672,other,4.0,0.0,2.7548611736463435,4,4046.0
674,Yelahanka,3.0,3.0,2.5252119458404625,3,35000.0
683,other,3.0,2.0,2.576735154035312,3,1875.0
685,Brookefield,3.0,2.0,2.5416335627291207,3,1200.0
686,Whitefield,2.0,1.0,2.3097885255458146,2,1140.0
687,Lingadheeranahalli,3.0,1.0,2.484636170481571,3,1683.0
689,Hoodi,4.0,2.0,2.4889259278400235,4,2118.0
693,other,3.0,3.0,2.5070501370700384,3,2300.0
694,other,2.0,2.0,2.3296071907373097,2,1240.0
695,other,3.0,1.0,2.5070501370700384,3,1750.0
698,Abbigere,2.0,1.0,2.2099976648505524,2,985.0
699,other,2.0,1.0,2.4294087898352825,3,1500.0
701,other,2.0,1.0,2.2371171131819043,2,950.0
705,Electronic City Phase II,2.0,1.0,2.089853385860407,2,1090.0
708,Kammasandra,2.0,2.0,2.0365613799867703,2,810.0
709,other,2.0,0.0,2.2441188393999556,2,1045.0
710,Hebbal,2.0,1.0,2.4142636500071166,2,1337.0
712,Koramangala,3.0,2.0,2.570295263205349,3,1580.0
713,Begur Road,2.0,3.0,2.299171349348421,3,1500.0
714,Whitefield,4.0,2.0,2.4407282487466375,3,1640.0
715,other,3.0,2.0,2.3388800168684982,3,1570.0
716,Gubbalala,2.0,2.0,2.4142636500071166,3,1470.0
718,7th Phase JP Nagar,2.0,1.0,2.376235685223555,2,1050.0
719,Dairy Circle,3.0,1.0,2.6383552979621507,3,1855.0
720,Bannerghatta Road,2.0,1.0,2.4379602028844816,3,1460.0
722,Electronic City,2.0,2.0,2.2224686292193874,2,1094.0
723,Budigere,2.0,2.0,2.314912980862613,2,1153.0
724,other,3.0,1.0,2.314912980862613,3,1325.0
726,Jakkur,2.0,2.0,2.516368512754174,3,1590.0
729,other,2.0,1.0,2.2639599879977412,2,1202.0
731,other,2.0,3.0,2.341137272271899,2,1200.0
732,Panathur,3.0,1.0,2.5031795054056962,3,1688.0
733,other,2.0,1.0,2.288027272233296,2,1020.0
734,Sarjapur,2.0,2.0,2.257530704287577,2,1185.0
735,Ramagondanahalli,2.0,1.0,2.288255617684903,2,1235.0
736,Hosakerehalli,5.0,1.0,2.7724398191255495,4,3205.0
738,Kengeri Satellite Town,2.0,3.0,2.3563037149614248,3,1415.0
739,EPIP Zone,3.0,2.0,2.572902378187978,3,2330.0
740,Whitefield,2.0,2.0,2.162996701647244,2,805.0
742,Whitefield,2.0,3.0,2.329370209310312,2,1155.0
